alpha,CL,CD,CM
-2,-0.016,0.00709,-0.0328
-1.5,0.0368,0.00681,-0.0321
-1,0.0886,0.00652,-0.0313
-0.5,0.1366,0.00606,-0.0296
0,0.1814,0.00558,-0.027
0.5,0.2408,0.00528,-0.0274
1,0.3416,0.00544,-0.0371
1.5,0.4118,0.00567,-0.0401
2,0.4815,0.00588,-0.0431
2.5,0.5582,0.00603,-0.0477
3,0.6309,0.00617,-0.0515
3.5,0.7072,0.00627,-0.0561
4,0.7552,0.00643,-0.0546
4.5,0.8034,0.00662,-0.0531
5,0.8505,0.00693,-0.0515
5.5,0.8978,0.00726,-0.0499
6,0.9426,0.00778,-0.0479
6.5,0.9792,0.0089,-0.0447
7,1.0026,0.01096,-0.0396
7.5,1.0373,0.01213,-0.0362
8,1.0761,0.01297,-0.0334
8.5,1.1137,0.01384,-0.0305
9,1.1474,0.01487,-0.027
9.5,1.1836,0.01567,-0.0241
10,1.2083,0.017,-0.0195
10.5,1.2302,0.01804,-0.0144
11,1.2494,0.0194,-0.0097
11.5,1.264,0.02167,-0.0064
12,1.2741,0.02492,-0.0041
12.5,1.295,0.02753,-0.0029
13,1.3096,0.0308,-0.0017
13.5,1.3214,0.03443,-0.0007
14,1.3187,0.03957,0.0003
14.5,1.3178,0.04468,0.001
15,1.3225,0.04946,0.0012
15.5,1.3287,0.05442,0.0009
16,1.3412,0.05889,0.0002
16.5,1.3366,0.06547,-0.0007
17,1.3329,0.07219,-0.0021
17.5,1.3248,0.07973,-0.004
18,1.305,0.08889,-0.0062
