alpha,CL,CD,CM
-2,0.2533,0.00704,-0.1017
-1.5,0.304,0.00697,-0.1004
-1,0.3548,0.00688,-0.0992
-0.5,0.4048,0.00684,-0.0978
0,0.4539,0.00671,-0.0963
0.5,0.4981,0.00628,-0.094
1,0.5368,0.00584,-0.09
1.5,0.6436,0.00599,-0.101
2,0.724,0.00627,-0.1064
2.5,0.7799,0.0065,-0.1065
3,0.8245,0.00673,-0.104
3.5,0.8698,0.00696,-0.1018
4,0.9149,0.00721,-0.0994
4.5,0.9603,0.00748,-0.0972
5,1.0057,0.00776,-0.095
5.5,1.0493,0.00812,-0.0925
6,1.0916,0.00854,-0.0899
6.5,1.1316,0.00908,-0.0868
7,1.1679,0.0098,-0.0831
7.5,1.1979,0.01073,-0.0784
8,1.2233,0.01174,-0.0728
8.5,1.2481,0.01286,-0.0674
9,1.2733,0.01402,-0.0623
9.5,1.2999,0.01517,-0.0578
10,1.3267,0.01636,-0.0535
10.5,1.3533,0.01763,-0.0494
11,1.3793,0.019,-0.0456
11.5,1.403,0.02059,-0.0419
12,1.4283,0.02218,-0.0387
12.5,1.4486,0.02423,-0.0353
13,1.4685,0.02646,-0.0323
13.5,1.4838,0.02918,-0.0294
14,1.4998,0.03203,-0.0271
14.5,1.5033,0.0362,-0.0246
15,1.5169,0.0397,-0.0232
15.5,1.5247,0.04398,-0.022
16,1.526,0.04919,-0.0213
16.5,1.5163,0.05595,-0.021
17,1.5155,0.06189,-0.0212
17.5,1.5103,0.06857,-0.0218
18,1.5031,0.07568,-0.0228
