Approach,t_max,LD_max,alpha_LDmax,CL_at_LDmax,CL15_CD_max,CL_max,alpha_CLmax,CD_min,CM_0
"XFOIL GA+fmincon, PARSEC, t >= 0.12",0.123145866163476,182.51256281407,4,1.046,187.025790050639,1.5525,16.5,0.00572,-0.1242
"Report method: GA+fmincon, camber/thickness (gian.m)",0.0802876624094464,176.129032258065,2,0.8736,169.305258200779,1.547,13.5,0.00496,-0.1498
"XFOIL GA+fmincon, NACA, t >= 0.12",0.127062325887859,142.955801104972,3.5,0.9954,145.436012414392,1.6485,17,0.00641,-0.1307
"optimize_airfoil (CST, XFOIL GA+fmincon), NACA 2412",0.120499934249072,140.507614213198,5.5,1.06,147.847129909806,1.4933,17.5,0.00565,-0.0653
"XFOIL GA+fmincon, PARSEC, t >= 0.08",0.0811396616392034,136.086330935252,2,0.9458,132.347017866988,1.7407,15.5,0.00688,-0.1838
"NSGA-II multi-objective (idkwimdt.m)",0.0803165289047957,126.878979385993,1,0.7359,107.275957069277,0.7359,1,0.00547,-0.1523
"XFOIL GA+fmincon, NACA, t >= 0.08",0.0802770160540477,111.130133331659,0.5,0.6509,88.0602264766105,0.6509,0.5,0.00557,-0.1436
"Bezier camber, 12% thick (letshope.m, fixed)",0.120000136932315,110.467065868263,4.5,0.8875,105.700260854977,1.4834,16,0.00529,-0.0555
"PARSEC fit of NACA 2412",0.120093914516092,104.872646733112,5,0.8657,99.9488870280219,1.4037,15,0.00568,-0.0463
"NACA 2412 (baseline)",0.120070790196296,101.986301369863,4.5,0.8284,95.4236049021667,1.4573,15.5,0.00544,-0.0427
"PARSEC GA, minimum area (GAairfoil.m)",0.1010979427577,95.3435114503817,3.5,0.8237,99.1134098417225,1.7054,15.5,0.00675,-0.1153
"GA+PSO+fmincon with sign bug (suniyo/deki.m)",0.130037288303963,75.5653950953678,9,1.0694,78.9918406850753,1.3413,16.5,0.00573,0.0002
"Thin Bezier ""supersonic"" target (trialgp.m)",0.050014452713205,51.8402777777778,1,0.2209,33.9478783856069,0.6102,5.5,0.00332,-0.0092
