alpha,CL,CD,CM
-2,0.038,0.00646,-0.0566
-1.5,0.0819,0.00628,-0.0537
-1,0.1248,0.00608,-0.0507
-0.5,0.1637,0.00584,-0.0467
0,0.2024,0.00565,-0.0427
0.5,0.2416,0.00551,-0.0387
1,0.293,0.00544,-0.0374
2,0.4769,0.0059,-0.0533
2.5,0.5434,0.00625,-0.0554
3,0.6078,0.00664,-0.0571
3.5,0.6832,0.00709,-0.0613
4,0.7581,0.00761,-0.0656
4.5,0.8284,0.0081,-0.0689
5,0.8934,0.00876,-0.0714
5.5,0.9248,0.00932,-0.0665
6,0.9549,0.01001,-0.0614
6.5,0.9876,0.01062,-0.0568
7,1.0202,0.0113,-0.0522
7.5,1.0534,0.01199,-0.0478
8,1.0872,0.01268,-0.0435
8.5,1.1209,0.01344,-0.0393
9,1.1556,0.0142,-0.0354
9.5,1.1877,0.01492,-0.0311
10,1.2209,0.01568,-0.0271
10.5,1.252,0.01665,-0.023
11,1.284,0.01759,-0.0194
11.5,1.3119,0.01883,-0.0154
12,1.343,0.01991,-0.0122
12.5,1.366,0.02153,-0.0082
13,1.3891,0.02325,-0.0047
13.5,1.4116,0.02511,-0.0017
14,1.4197,0.0282,0.0019
14.5,1.4358,0.03095,0.0042
15,1.4522,0.03391,0.0058
15.5,1.4573,0.03817,0.0071
16,1.4551,0.0436,0.0075
16.5,1.4385,0.05119,0.0068
17,1.4428,0.05674,0.0057
17.5,1.4277,0.06518,0.0034
18,1.4137,0.07386,0.0005
