alpha,CL,CD,CM
-2,0.1672,0.00763,-0.07
-1.5,0.2181,0.00715,-0.0692
-1,0.269,0.00676,-0.0683
-0.5,0.3195,0.0064,-0.0673
0,0.3658,0.00597,-0.0653
0.5,0.4989,0.00565,-0.0824
1,0.5969,0.00582,-0.0918
1.5,0.6586,0.00594,-0.0933
2.5,0.7607,0.0062,-0.0916
3,0.8118,0.00635,-0.0907
3.5,0.8624,0.00653,-0.0898
4,0.9125,0.00676,-0.0888
4.5,0.9626,0.00696,-0.0878
5,1.0118,0.00721,-0.0867
5.5,1.0599,0.00753,-0.0854
6,1.1074,0.00787,-0.084
6.5,1.1521,0.00836,-0.0822
7,1.1924,0.00908,-0.0797
7.5,1.2153,0.01075,-0.0743
8,1.2216,0.01308,-0.0663
8.5,1.2437,0.01436,-0.0608
9,1.2613,0.01536,-0.0544
9.5,1.2816,0.01654,-0.0493
10,1.3047,0.0179,-0.0453
10.5,1.3289,0.01944,-0.0421
11,1.3488,0.02148,-0.039
11.5,1.3719,0.02348,-0.0365
12,1.3913,0.02588,-0.0342
12.5,1.4017,0.02917,-0.0316
13,1.4265,0.03136,-0.0303
13.5,1.4367,0.03493,-0.0283
14,1.4472,0.0386,-0.0268
14.5,1.4615,0.04208,-0.0257
15,1.4689,0.04642,-0.0248
15.5,1.4781,0.05073,-0.0242
16,1.4869,0.05519,-0.0238
16.5,1.4897,0.06049,-0.0236
17,1.4926,0.06593,-0.0237
17.5,1.4929,0.07175,-0.0241
18,1.4801,0.0794,-0.0248
