alpha,CL,CD,CM
-2,0.3255,0.00865,-0.1245
-1.5,0.381,0.00837,-0.1244
-1,0.436,0.00823,-0.1243
-0.5,0.4909,0.00795,-0.1241
0,0.5471,0.00779,-0.1242
0.5,0.6017,0.00769,-0.124
1,0.6565,0.00751,-0.1239
1.5,0.7115,0.00739,-0.1237
2,0.765,0.00725,-0.1234
2.5,0.8093,0.00625,-0.1215
3,0.8572,0.00605,-0.1199
3.5,0.9038,0.00586,-0.1179
4.5,1.0896,0.00597,-0.1351
5,1.1004,0.00701,-0.126
5.5,1.0619,0.00885,-0.1074
6,1.0678,0.01038,-0.0987
6.5,1.0927,0.01151,-0.0938
7,1.1249,0.01246,-0.0902
7.5,1.1579,0.01343,-0.087
8,1.19,0.01449,-0.0837
8.5,1.2192,0.01576,-0.0801
9,1.243,0.01736,-0.076
9.5,1.2602,0.01944,-0.0711
10.5,1.3096,0.02295,-0.0638
11,1.3389,0.02448,-0.061
11.5,1.3666,0.02616,-0.0581
12,1.3962,0.02773,-0.0556
12.5,1.4211,0.02968,-0.0527
13,1.4471,0.03158,-0.0501
13.5,1.4665,0.03407,-0.0471
14,1.4885,0.0364,-0.0445
14.5,1.5074,0.03906,-0.0419
15,1.5144,0.04289,-0.0387
15.5,1.5321,0.04586,-0.0366
16,1.5447,0.04946,-0.0345
16.5,1.5525,0.05368,-0.0325
17,1.5514,0.05906,-0.0307
17.5,1.5401,0.06595,-0.0293
18,1.5401,0.07181,-0.0288
